id,workout_id,template_id
1,1,1
2,1,2
3,1,3
4,2,1
5,2,4
6,2,5
7,2,6
8,2,5
9,2,6
10,2,5
11,2,6
12,2,5
13,2,6
14,2,5
15,2,6
16,2,3
17,3,1
18,3,2
19,3,3
20,4,1
21,4,2
22,4,3
23,5,1
24,5,9
25,5,7
26,5,8
27,5,7
28,5,8
29,5,7
30,5,8
31,5,9
32,5,7
33,5,8
34,5,7
35,5,8
36,5,7
37,5,8
38,5,1
39,6,1
40,6,2
41,6,3
42,7,1
43,7,2
44,7,3
45,8,1
46,8,2
47,8,3
48,9,1
49,9,10
50,9,7
51,9,8
52,9,7
53,9,8
54,9,7
55,9,8
56,9,7
57,9,8
58,9,7
59,9,8
60,9,3
61,10,1
62,10,11
63,10,12
64,10,13
65,10,3
66,11,1
67,11,2
68,11,3
69,12,1
70,12,14
71,12,3
72,13,1
73,13,10
74,13,3
75,14,15
76,15,1
77,15,2
78,15,3
79,16,1
80,16,2
81,16,3
82,17,1
83,17,17
84,17,16
85,17,3
86,18,1
87,18,2
88,18,3
89,19,1
90,19,2
91,19,3
92,20,1
93,20,17
94,20,18
95,20,3
96,21,19
97,22,1
98,22,20
99,22,3
100,23,1
101,23,22
102,23,3
103,24,1
104,24,2
105,24,21
106,24,3
107,25,1
108,25,22
109,25,3
110,26,1
111,26,22
112,26,3
113,27,1
114,27,4
115,27,3
116,28,1
117,28,23
118,28,25
119,29,1
120,29,14
121,29,3
122,30,19
123,31,9
124,31,20
125,31,3
126,32,1
127,32,17
128,32,3
129,33,1
130,33,14
131,33,3
132,34,1
133,34,24
134,34,25
135,35,26
136,36,19
137,37,1
138,37,10
139,37,7
140,37,8
141,37,7
142,37,8
143,37,7
144,37,3
145,38,1
146,38,20
147,38,27
148,38,3
149,39,1
150,39,17
151,39,3
152,40,26
153,41,1
154,41,28
155,41,25
156,42,26
157,43,19
158,44,1
159,44,29
160,44,3
161,45,1
162,45,17
163,45,22
164,45,3
165,46,1
166,46,29
167,46,3
168,47,1
169,47,29
170,47,30
171,47,3
172,48,1
173,48,11
174,48,22
175,48,31
176,48,3
177,49,26
178,50,1
179,50,14
180,50,30
181,50,12
182,50,30
183,50,3
184,51,1
185,51,29
186,51,3
187,52,1
188,52,33
189,52,16
190,52,32
191,52,3
192,53,1
193,53,2
194,53,3
195,54,1
196,54,29
197,54,3
198,55,1
199,55,14
200,55,34
201,55,3
202,56,19
203,57,26
204,58,19
205,59,1
206,59,29
207,59,3
208,60,33
209,60,16
210,60,32
211,60,3
212,61,26
213,62,26
214,63,35
215,64,26
216,65,19
217,66,1
218,66,2
219,66,3
220,67,1
221,67,2
222,67,16
223,67,3
224,68,1
225,68,2
226,68,3
227,69,1
228,69,2
229,69,3
230,70,36
231,71,26
232,72,19
233,73,1
234,73,37
235,73,3
236,74,1
237,74,2
238,74,3
239,75,26
240,76,38
241,77,1
242,77,4
243,77,3
244,78,19
245,79,1
246,79,4
247,79,3
248,80,39
249,81,1
250,81,4
251,81,3
252,82,1
253,82,4
254,82,3
255,83,1
256,83,9
257,83,34
258,83,3
259,84,40
260,85,1
261,85,4
262,85,3
263,86,19
264,87,1
265,87,2
266,87,3
267,88,41
268,89,1
269,89,14
270,89,3
271,90,2
272,91,1
273,91,2
274,91,3
275,92,19
276,93,43
277,94,1
278,94,10
279,94,3
280,95,19
281,96,1
282,96,10
283,96,3
284,97,1
285,97,2
286,97,3
287,98,1
288,98,2
289,98,3
290,99,19
291,100,1
292,100,34
293,100,3
294,101,45
295,101,46
296,101,47
297,101,48
298,101,49
299,101,50
300,101,51
301,101,52
302,101,53
303,101,3
304,102,54
305,103,1
306,103,9
307,103,30
308,103,9
309,103,30
310,103,3
